S lambdaH(nm)	shift(nm)	sigmaShiftH(nm)	sigmaLambdaH
397.1300473461025	0.11145271620212063	0.049995838844722765	0.07689124978381309
410.22786632282913	0.10612715981058819	0.049995838527354876	0.07689227562915066
434.1250592323594	0.11187968063657432	0.049995838870839734	0.07689435042374337
486.19257860756625	0.1360216696550352	0.04999584051003698	0.07689961318880996
656.3639711559929	0.18020098960225867	0.049995844336444856	0.07692124615214667
