# CurveFit Sample Data File
# Load using: "Load Frequency Response File" Data I/O menu choice
#
# Freq (Hz)         	Amplitude (V)       	Offset (V)          	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           
15650.22            	0.05000000          	0.000000            	0.05040596          	0.000006968333      	-3.312938           	0.02993935          	0.4422739           	0.000005809823      	-61.40272           	0.04911755          
15750.00            	0.05000000          	0.000000            	0.05034552          	0.000001664593      	-3.457042           	0.03555124          	0.4632365           	0.000006061633      	-67.12377           	0.03126539          
15780.76            	0.05000000          	0.000000            	0.05031465          	0.000003933347      	-3.402268           	0.04700637          	0.4688577           	0.00001248492       	-69.08895           	0.05023865          
15911.31            	0.05000000          	0.000000            	0.05018125          	0.000005752895      	-3.559825           	0.1163110           	0.4887759           	0.000006202507      	-77.52224           	0.05314626          
16000.00            	0.05000000          	0.000000            	0.05008970          	0.000009313092      	-3.771769           	0.005441998         	0.4965745           	0.000003829450      	-83.69885           	0.01984605          
16041.85            	0.05000000          	0.000000            	0.05002426          	0.000003819901      	-3.591419           	0.07162402          	0.4982928           	0.00001822088       	-86.69826           	0.04621431          
16100.00            	0.05000000          	0.000000            	0.04995802          	0.000009684237      	-3.709831           	0.07813309          	0.4986540           	0.000005897557      	-90.90948           	0.05695530          
16172.39            	0.05000000          	0.000000            	0.04984535          	0.000004443039      	-3.700783           	0.08534643          	0.4951262           	0.00001873628       	-96.03395           	0.01485110          
16302.94            	0.05000000          	0.000000            	0.04969834          	0.00002701275       	-3.708830           	0.07633032          	0.4796713           	0.00001506984       	-105.0344           	0.08177714          
16433.48            	0.05000000          	0.000000            	0.04956907          	0.000003038953      	-3.485413           	0.05176564          	0.4549501           	0.000009543318      	-113.4171           	0.04124173          
16450.00            	0.05000000          	0.000000            	0.04956178          	0.000003331592      	-3.641185           	0.02205365          	0.4514617           	0.00001354448       	-114.3862           	0.06401139          
16500.00            	0.05000000          	0.000000            	0.04953636          	0.000003199176      	-3.477781           	0.04287648          	0.4399980           	0.00001320578       	-117.2555           	0.04776873          
16564.02            	0.05000000          	0.000000            	0.04949396          	0.0000004310893     	-3.504035           	0.04161782          	0.4247518           	0.000004525293      	-120.7872           	0.05611665          
16694.57            	0.05000000          	0.000000            	0.04944706          	0.000001625721      	-3.427504           	0.06441531          	0.3927136           	0.00001016900       	-127.3083           	0.06133897          
16800.00            	0.05000000          	0.000000            	0.04943102          	0.000006702469      	-3.300658           	0.01565608          	0.3672399           	0.000008596577      	-131.8790           	0.05718395          
16825.11            	0.05000000          	0.000000            	0.04941795          	0.000002980101      	-3.205077           	0.006814173         	0.3612885           	0.000006748758      	-132.9303           	0.05660678          
16955.65            	0.05000000          	0.000000            	0.04942633          	0.000003093857      	-3.174061           	0.09413309          	0.3318450           	0.000007203524      	-137.6223           	0.02130992          
17000.00            	0.05000000          	0.000000            	0.04941964          	0.000002778761      	-3.261633           	0.04966740          	0.3224271           	0.000007279833      	-138.9495           	0.006578407         
17086.20            	0.05000000          	0.000000            	0.04943041          	0.000003145398      	-3.118501           	0.07900831          	0.3050391           	0.000008871975      	-141.6748           	0.06535465          
17150.00            	0.05000000          	0.000000            	0.04944291          	0.000004868416      	-3.094234           	0.03922481          	0.2929647           	0.000006604875      	-143.5140           	0.09637716          
17216.74            	0.05000000          	0.000000            	0.04944894          	0.000001400175      	-3.082453           	0.04674964          	0.2809926           	0.000001325248      	-145.2132           	0.07641349          
17347.28            	0.05000000          	0.000000            	0.04947135          	0.000002815820      	-3.073355           	0.09147062          	0.2595332           	0.000008379889      	-148.0273           	0.02058699          
17477.83            	0.05000000          	0.000000            	0.04948851          	0.000002419441      	-3.073191           	0.05105584          	0.2404847           	0.000009408475      	-150.6419           	0.07110740          
17500.00            	0.05000000          	0.000000            	0.04948862          	0.000004316849      	-3.008479           	0.06428323          	0.2374916           	0.00001539097       	-151.0084           	0.05049584          
