# 577.120
# Spectrum #00038	3:30:00 PM 4/26/2018
# Narrow scan: start 1153.9nm, end 1155.15nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 15um, exit 15um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
1153.9               0.042944
1153.906513          0.045122
1153.913025          0.045148
1153.919537          0.044343
1153.92605           0.046985
1153.932562          0.04518
1153.939075          0.046699
1153.945587          0.043895
1153.9521            0.045489
1153.958612          0.045933
1153.965124          0.049328
1153.971636          0.044054
1153.978149          0.045602
1153.984661          0.04509
1153.991173          0.046589
1153.997685          0.043464
1154.004198          0.044217
1154.01071           0.042318
1154.017222          0.043207
1154.023734          0.043545
1154.030246          0.045511
1154.036758          0.0458
1154.04327           0.047676
1154.049782          0.047404
1154.056294          0.050068
1154.062806          0.05123
1154.069318          0.053041
1154.07583           0.056494
1154.082342          0.058908
1154.088854          0.063043
1154.095366          0.064727
1154.101878          0.065948
1154.10839           0.072215
1154.114901          0.078413
1154.121413          0.083509
1154.127925          0.09491
1154.134437          0.104373
1154.140948          0.110156
1154.14746           0.118225
1154.153972          0.121191
1154.160483          0.127328
1154.166995          0.133647
1154.173507          0.141127
1154.180018          0.144217
1154.18653           0.151003
1154.193041          0.156897
1154.199553          0.161641
1154.206064          0.171004
1154.212576          0.179634
1154.219087          0.181046
1154.225599          0.186034
1154.23211           0.189565
1154.238622          0.186105
1154.245133          0.186196
1154.251644          0.181098
1154.258156          0.166993
1154.264667          0.150175
1154.271178          0.129366
1154.27769           0.111928
1154.284201          0.097457
1154.290712          0.082515
1154.297223          0.075382
1154.303734          0.067548
1154.310246          0.063757
1154.316757          0.05908
1154.323268          0.056033
1154.329779          0.052544
1154.33629           0.051434
1154.342801          0.049815
1154.349312          0.050597
1154.355823          0.046865
1154.362334          0.046803
1154.368845          0.043954
1154.375356          0.044028
1154.381867          0.045385
1154.388378          0.043042
1154.394889          0.047394
1154.401399          0.045648
1154.40791           0.045797
1154.414421          0.044798
1154.420932          0.047809
1154.427443          0.047761
1154.433953          0.045307
1154.440464          0.044905
1154.446975          0.042652
1154.453485          0.0441
1154.459996          0.043568
1154.466507          0.040462
1154.473017          0.043051
1154.479528          0.041237
1154.486038          0.04361
1154.492549          0.040345
1154.499059          0.043811
1154.50557           0.043636
1154.51208           0.040504
1154.518591          0.04213
1154.525101          0.040131
1154.531612          0.043928
1154.538122          0.044574
1154.544632          0.044496
1154.551143          0.044463
1154.557653          0.043486
1154.564163          0.045596
1154.570674          0.045119
1154.577184          0.044619
1154.583694          0.043467
1154.590204          0.047264
1154.596715          0.042402
1154.603225          0.042519
1154.609735          0.044544
1154.616245          0.044827
1154.622755          0.044278
1154.629265          0.044772
1154.635775          0.048306
1154.642285          0.045434
1154.648795          0.04396
1154.655305          0.042133
1154.661815          0.042354
1154.668325          0.041292
1154.674835          0.042289
1154.681345          0.04272
1154.687855          0.04324
1154.694365          0.04373
1154.700875          0.04347
1154.707384          0.045502
1154.713894          0.044921
1154.720404          0.045901
1154.726914          0.047475
1154.733423          0.044992
1154.739933          0.044872
1154.746443          0.042042
1154.752952          0.044281
1154.759462          0.043717
1154.765972          0.042045
1154.772481          0.043538
1154.778991          0.041367
1154.7855            0.042328
1154.79201           0.042178
1154.798519          0.043233
1154.805029          0.04471
1154.811538          0.045012
1154.818048          0.048939
1154.824557          0.047111
1154.831067          0.046018
1154.837576          0.045382
1154.844085          0.044019
1154.850595          0.044694
1154.857104          0.04497
1154.863613          0.044856
1154.870123          0.041617
1154.876632          0.041104
1154.883141          0.0425
1154.88965           0.04174
1154.896159          0.041377
1154.902668          0.045086
1154.909178          0.044356
1154.915687          0.040049
1154.922196          0.040361
1154.928705          0.042026
1154.935214          0.039959
1154.941723          0.041578
1154.948232          0.041727
1154.954741          0.041984
1154.96125           0.041984
1154.967759          0.042694
1154.974268          0.043496
1154.980777          0.043376
1154.987285          0.042672
1154.993794          0.042961
1155.000303          0.041938
1155.006812          0.043431
1155.013321          0.04139
1155.019829          0.040205
1155.026338          0.040981
1155.032847          0.040913
1155.039356          0.04017
1155.045864          0.040075
1155.052373          0.037904
1155.058882          0.039618
1155.06539           0.039323
1155.071899          0.040637
1155.078407          0.041419
1155.084916          0.043425
1155.091424          0.045073
1155.097933          0.042626
1155.104441          0.043912
1155.11095           0.043548
1155.117458          0.039504
1155.123967          0.038093
1155.130475          0.038284
1155.136983          0.043191
1155.143492          0.043963
1155.15              0.042471
