# Spectrum H, 50 nm slit
# Spectrum #00054	4:22:18 PM 4/26/2018
# Wide scan: start 750nm, end 1249.7nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
876.92               0.368363
877.3                0.367581
877.68               0.373449
878.06               0.373407
878.44               0.388047
878.82               0.390081
879.2                0.385496
879.58               0.373449
879.96               0.371381
880.34               0.359854
880.72               0.375915
881.1                0.384009
881.48               0.382679
881.86               0.378226
882.24               0.365339
882.62               0.35952
883                  0.354194
883.38               0.36491
883.76               0.375107
884.14               0.373819
884.52               0.358945
884.9                0.357686
885.28               0.357267
885.66               0.367987
886.04               0.351468
886.42               0.370044
886.8                0.376626
887.18               0.376704
887.56               0.37674
887.94               0.37782
888.32               0.382481
888.7                0.387952
889.08               0.377986
889.46               0.381939
889.84               0.380095
890.22               0.393836
890.6                0.388881
890.98               0.395952
891.36               0.381718
891.74               0.387641
892.12               0.387079
892.5                0.38068
892.88               0.388021
893.26               0.389267
893.64               0.380069
894.02               0.370317
894.4                0.37047
894.78               0.379479
895.16               0.395521
895.54               0.378249
895.92               0.379326
896.3                0.398305
896.68               0.39837
897.06               0.376746
897.44               0.38963
897.82               0.387573
898.2                0.388378
898.58               0.396871
898.96               0.377957
899.34               0.389351
899.72               0.397607
900.1                0.389653
900.48               0.388309
900.86               0.39221
901.24               0.40328
901.62               0.395401
902                  0.389819
902.38               0.382357
902.76               0.364407
903.14               0.367373
903.52               0.373403
903.9                0.375393
904.28               0.382192
904.66               0.380731
905.04               0.37265
905.42               0.373588
905.8                0.370839
906.18               0.376928
906.56               0.365919
906.94               0.364371
907.32               0.378434
907.7                0.382786
908.08               0.397117
908.46               0.378875
908.84               0.383675
909.22               0.380449
909.6                0.365358
909.98               0.373244
910.36               0.366072
910.74               0.364936
911.12               0.365459
911.5                0.372452
911.88               0.38078
912.26               0.368642
912.64               0.359354
913.02               0.365118
913.4                0.37659
913.78               0.391328
914.16               0.388949
914.54               0.380819
914.92               0.385317
915.3                0.374731
915.68               0.389647
916.06               0.385194
916.44               0.385457
916.82               0.379161
917.2                0.378129
917.58               0.378362
917.96               0.376373
918.34               0.36443
918.72               0.353912
919.1                0.376623
919.48               0.392892
919.86               0.463784
920.24               0.540441
920.62               0.513238
921                  0.496878
921.38               0.564671
921.76               0.651251
922.14               0.626976
922.52               0.558332
922.9                0.516665
923.28               0.507944
923.66               0.474166
924.04               0.462412
924.42               0.464255
924.8                0.618807
925.18               0.676559
925.56               0.715033
925.94               0.831591
926.32               0.767212
926.7                0.666501
927.08               0.576176
927.46               0.629491
927.84               0.641635
928.22               0.595596
928.6                0.561039
928.98               0.548995
929.36               0.587184
929.74               0.607172
930.12               0.593444
930.5                0.627914
930.88               0.5706
931.26               0.575082
931.64               0.568477
932.02               0.617074
932.4                0.653809
932.78               0.576455
933.16               0.531714
933.54               0.488771
933.92               0.538733
934.3                0.598082
934.68               0.580998
935.06               0.59669
935.44               0.622611
935.82               0.573034
936.2                0.507954
936.58               0.500496
936.96               0.469675
937.34               0.458056
937.72               0.47292
938.1                0.468448
938.48               0.458965
938.86               0.486502
939.24               0.513896
939.62               0.513702
940                  0.501493
940.38               0.537864
940.76               0.556051
941.14               0.521078
941.52               0.522529
941.9                0.527715
942.28               0.513523
942.66               0.529617
943.04               0.516158
943.42               0.52052
943.8                0.564453
944.18               0.54109
944.56               0.530415
944.94               0.54107
945.32               0.528627
945.7                0.49582
946.08               0.487982
946.46               0.481004
946.84               0.447849
947.22               0.436478
947.6                0.450371
947.98               0.483575
948.36               0.458004
948.74               0.452834
949.12               0.464615
949.5                0.446889
949.88               0.448576
950.26               0.420978
950.64               0.411482
951.02               0.441475
951.4                0.460179
951.78               0.470703
952.16               0.431785
952.54               0.42543
952.92               0.434719
953.3                0.44511
953.68               0.423139
954.06               0.415064
954.44               0.426417
954.82               0.456369
955.2                0.449388
955.58               0.446123
955.96               0.452834
956.34               0.447869
956.72               0.443718
957.1                0.449196
957.48               0.43428
957.86               0.424911
958.24               0.423012
958.62               0.415064
959                  0.414091
959.38               0.420069
959.76               0.40884
960.14               0.412773
960.52               0.416979
960.9                0.416444
961.28               0.422023
961.66               0.415217
962.04               0.400756
962.42               0.401255
962.8                0.387375
963.18               0.385048
963.56               0.404721
963.94               0.406175
964.32               0.413127
964.7                0.427154
965.08               0.419923
965.46               0.414993
965.84               0.402417
966.22               0.409865
966.6                0.388238
966.98               0.378252
967.36               0.381037
967.74               0.380864
968.12               0.392155
968.5                0.395615
968.88               0.393908
969.26               0.398863
969.64               0.412991
970.02               0.403868
970.4                0.412695
970.78               0.41534
971.16               0.400317
971.54               0.398539
971.92               0.397066
972.3                0.733162
972.68               0.965678
973.06               0.720112
973.44               0.582374
973.82               0.516782
974.2                0.478765
974.58               0.45238
974.96               0.438412
975.34               0.445879
975.72               0.424655
976.1                0.420504
976.48               0.418368
976.86               0.402164
977.24               0.389296
977.62               0.394846
978                  0.400765
978.38               0.405403
978.76               0.402609
979.14               0.41929
979.52               0.39753
979.9                0.393554
980.28               0.3915
980.66               0.390854
981.04               0.378317
981.42               0.368328
981.8                0.383331
982.18               0.387148
982.56               0.37942
982.94               0.384928
983.32               0.390065
983.7                0.382185
984.08               0.361658
984.46               0.376925
984.84               0.368558
985.22               0.375149
985.6                0.376538
985.98               0.387508
986.36               0.382802
986.74               0.374822
987.12               0.386142
987.5                0.390279
987.88               0.385655
988.26               0.386839
988.64               0.391918
989.02               0.39555
989.4                0.389685
989.78               0.391406
990.16               0.399915
990.54               0.377103
990.92               0.386473
991.3                0.395349
991.68               0.392259
992.06               0.384042
992.44               0.377071
992.82               0.38732
993.2                0.390192
993.58               0.392457
993.96               0.394612
994.34               0.395255
994.72               0.392944
995.1                0.407756
995.48               0.388699
995.86               0.383613
996.24               0.396783
996.62               0.392162
997                  0.395099
997.38               0.381011
997.76               0.384068
998.14               0.386927
998.52               0.399581
998.9                0.390075
999.28               0.379391
999.66               0.38313
1000.04              0.377489
1000.42              0.381806
1000.8               0.386667
1001.18              0.405185
1001.56              0.401963
1001.94              0.412549
1002.32              0.398578
1002.7               0.390883
1003.08              0.384899
1003.46              0.400304
1003.84              0.411751
1004.22              0.44241
1004.6               0.424015
1004.98              0.424596
1005.36              0.413091
1005.74              0.41943
1006.12              0.427764
1006.5               0.440508
1006.88              0.432038
1007.26              0.442469
1007.64              0.438087
1008.02              0.47623
1008.4               0.441475
1008.78              0.448518
1009.16              0.44904
1009.54              0.433294
1009.92              0.417265
1010.3               0.425966
1010.68              0.443478
1011.06              0.453169
1011.44              0.453191
1011.82              0.434745
1012.2               0.417077
1012.58              0.409411
1012.96              0.400953
1013.34              0.399551
1013.72              0.402047
1014.1               0.397669
1014.48              0.404011
1014.86              0.407168
1015.24              0.406188
1015.62              0.411618
1016                 0.40293
1016.38              0.413302
1016.76              0.429727
1017.14              0.390176
1017.52              0.382289
1017.9               0.382377
1018.28              0.39567
1018.66              0.41497
1019.04              0.394216
1019.42              0.398078
1019.8               0.403683
1020.18              0.39357
1020.56              0.395589
1020.94              0.390951
1021.32              0.391376
1021.7               0.393966
1022.08              0.387664
1022.46              0.380949
1022.84              0.39062
1023.22              0.392184
1023.6               0.397289
1023.98              0.418719
1024.36              0.409395
1024.74              0.410274
1025.12              0.401956
1025.5               0.392642
1025.88              0.380238
1026.26              0.382065
1026.64              0.403699
1027.02              0.395748
1027.4               0.387566
1027.78              0.377914
1028.16              0.381244
1028.54              0.376486
1028.92              0.376756
1029.3               0.391399
1029.68              0.396806
1030.06              0.389744
1030.44              0.403654
1030.82              0.389861
1031.2               0.374789
1031.58              0.376448
1031.96              0.377009
1032.34              0.381971
1032.72              0.401765
1033.1               0.401359
1033.48              0.392133
1033.86              0.401982
1034.24              0.402459
1034.62              0.395407
1035                 0.382776
1035.38              0.395183
1035.76              0.388167
1036.14              0.385934
1036.52              0.39913
1036.9               0.386232
1037.28              0.403758
1037.66              0.390312
1038.04              0.398244
1038.42              0.410768
1038.8               0.418537
1039.18              0.410618
1039.56              0.412264
1039.94              0.404105
1040.32              0.397004
1040.7               0.391857
1041.08              0.3947
1041.46              0.391604
1041.84              0.380722
1042.22              0.375623
1042.6               0.37204
1042.98              0.374335
1043.36              0.368048
1043.74              0.381682
1044.12              0.381202
1044.5               0.378862
1044.88              0.382757
1045.26              0.379716
1045.64              0.384775
1046.02              0.383698
1046.4               0.376116
1046.78              0.384395
1047.16              0.386356
1047.54              0.375315
1047.92              0.376217
1048.3               0.388514
1048.68              0.381004
1049.06              0.360428
1049.44              0.368762
1049.82              0.377467
1050.2               0.382815
1050.58              0.377768
1050.96              0.380076
1051.34              0.375094
1051.72              0.377622
1052.1               0.380069
1052.48              0.384577
1052.86              0.398237
1053.24              0.388602
1053.62              0.380209
1054                 0.379359
1054.38              0.379657
1054.76              0.368542
1055.14              0.367974
1055.52              0.378895
1055.9               0.385249
1056.28              0.377239
1056.66              0.373436
1057.04              0.370817
1057.42              0.348599
1057.8               0.356832
1058.18              0.365575
1058.56              0.370489
1058.94              0.385103
1059.32              0.384752
1059.7               0.387696
1060.08              0.375046
1060.46              0.375344
1060.84              0.386511
1061.22              0.394135
1061.6               0.383854
1061.98              0.376207
1062.36              0.375831
1062.74              0.387453
1063.12              0.386534
1063.5               0.391798
1063.88              0.381591
1064.26              0.371803
1064.64              0.391623
1065.02              0.386262
1065.4               0.380491
1065.78              0.387959
1066.16              0.376353
1066.54              0.384405
1066.92              0.390773
1067.3               0.374604
1067.68              0.373682
1068.06              0.364683
1068.44              0.378268
1068.82              0.374994
1069.2               0.361872
1069.58              0.363437
1069.96              0.371391
1070.34              0.38166
1070.72              0.380816
1071.1               0.387066
1071.48              0.383363
1071.86              0.378774
1072.24              0.379596
1072.62              0.39099
1073                 0.380897
1073.38              0.373884
1073.76              0.368993
1074.14              0.37539
1074.52              0.375325
1074.9               0.378197
1075.28              0.382257
1075.66              0.382916
1076.04              0.386096
1076.42              0.389101
1076.8               0.393664
1077.18              0.400509
1077.56              0.385749
1077.94              0.371781
1078.32              0.372735
1078.7               0.367636
1079.08              0.379703
1079.46              0.388449
1079.84              0.397023
1080.22              0.393732
1080.6               0.396903
1080.98              0.379141
1081.36              0.376957
1081.74              0.383227
1082.12              0.401651
1082.5               0.40636
1082.88              0.401765
1083.26              0.380345
1083.64              0.38497
1084.02              0.380907
1084.4               0.377684
1084.78              0.375321
1085.16              0.396906
1085.54              0.386804
1085.92              0.382802
1086.3               0.369684
1086.68              0.378771
1087.06              0.375876
1087.44              0.392668
1087.82              0.373465
1088.2               0.383052
1088.58              0.393067
1088.96              0.381186
1089.34              0.386839
1089.72              0.379836
1090.1               0.379501
1090.48              0.37907
1090.86              0.377778
1091.24              0.371261
1091.62              0.374185
1092                 0.375662
1092.38              0.366789
1092.76              0.384853
1093.14              0.38533
1093.52              0.396858
1093.9               0.38533
1094.28              0.373777
1094.66              0.361931
1095.04              0.364634
1095.42              0.375581
1095.8               0.396024
1096.18              0.391542
1096.56              0.398234
1096.94              0.376967
1097.32              0.382101
1097.7               0.366023
1098.08              0.375149
1098.46              0.377233
1098.84              0.375863
1099.22              0.376795
1099.6               0.381712
1099.98              0.391746
1100.36              0.38743
1100.74              0.388991
1101.12              0.392746
1101.5               0.371865
1101.88              0.377898
1102.26              0.379979
1102.64              0.372517
1103.02              0.383396
1103.4               0.38277
1103.78              0.388241
1104.16              0.378323
1104.54              0.382753
1104.92              0.390838
1105.3               0.392431
1105.68              0.381734
1106.06              0.373102
1106.44              0.381234
1106.82              0.390221
1107.2               0.383808
1107.58              0.401473
1107.96              0.404251
1108.34              0.384013
1108.72              0.370911
1109.1               0.374637
1109.48              0.363784
1109.86              0.370119
1110.24              0.37253
1110.62              0.379424
1111                 0.379865
1111.38              0.389458
1111.76              0.387255
1112.14              0.380225
1112.52              0.387245
1112.9               0.364923
1113.28              0.376451
1113.66              0.371826
1114.04              0.367432
1114.42              0.379368
1114.8               0.38078
1115.18              0.378229
1115.56              0.373887
1115.94              0.382247
1116.32              0.38864
1116.7               0.38693
1117.08              0.380368
1117.46              0.38311
1117.84              0.384298
1118.22              0.382208
1118.6               0.389432
1118.98              0.393018
1119.36              0.388822
1119.74              0.385577
1120.12              0.386271
1120.5               0.381903
1120.88              0.384632
1121.26              0.386372
1121.64              0.381381
1122.02              0.394145
1122.4               0.407717
1122.78              0.397445
1123.16              0.400908
1123.54              0.384094
1123.92              0.398714
1124.3               0.39063
1124.68              0.396786
1125.06              0.413669
1125.44              0.401603
1125.82              0.39469
