# other specrum h
# Spectrum #00065	4:39:53 PM 4/26/2018
# Wide scan: start 750nm, end 1249.8nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 100um, exit 100um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
890.7                0.704732
891.12               0.700503
891.54               0.716062
891.96               0.714011
892.38               0.712816
892.8                0.699812
893.22               0.700202
893.64               0.720034
894.06               0.719443
894.48               0.704593
894.9                0.71638
895.32               0.703242
895.74               0.726509
896.16               0.732876
896.58               0.716344
897                  0.707241
897.42               0.734453
897.84               0.707143
898.26               0.701396
898.68               0.700068
899.1                0.71648
899.52               0.71846
899.94               0.721345
900.36               0.705148
900.78               0.703677
901.2                0.70258
901.62               0.712028
902.04               0.695755
902.46               0.702227
902.88               0.72633
903.3                0.718989
903.72               0.721634
904.14               0.708016
904.56               0.688998
904.98               0.685062
905.4                0.690965
905.82               0.703093
906.24               0.702911
906.66               0.704434
907.08               0.697531
907.5                0.724565
907.92               0.72943
908.34               0.710343
908.76               0.707328
909.18               0.693195
909.6                0.695531
910.02               0.699098
910.44               0.707659
910.86               0.713034
911.28               0.724879
911.7                0.696044
912.12               0.689453
912.54               0.693724
912.96               0.716318
913.38               0.70961
913.8                0.718652
914.22               0.736131
914.64               0.728336
915.06               0.694532
915.48               0.691974
915.9                0.68108
916.32               0.679954
916.74               0.676562
917.16               0.669296
917.58               0.6844
918                  0.695768
918.42               0.687269
918.84               0.695658
919.26               0.69817
919.68               0.930943
920.1                1.227383
920.52               1.234802
920.94               1.194903
921.36               1.3092
921.78               1.483503
922.2                1.40575
922.62               1.301966
923.04               1.43431
923.46               1.547921
923.88               1.632311
924.3                1.786081
924.72               1.944746
925.14               1.85711
925.56               1.803415
925.98               1.951889
926.4                1.881639
926.82               1.800926
927.24               1.924634
927.66               2.105402
928.08               2.018111
928.5                1.887568
928.92               1.714988
929.34               1.689326
929.76               1.633298
930.18               1.553179
930.6                1.678523
931.02               1.616818
931.44               1.617931
931.86               1.458215
932.28               1.522094
932.7                1.538487
933.12               1.376321
933.54               1.182889
933.96               1.29296
934.38               1.456596
934.8                1.29725
935.22               1.281896
935.64               1.416447
936.06               1.317557
936.48               1.274662
936.9                1.195179
937.32               1.072004
937.74               1.103056
938.16               1.098382
938.58               1.067372
939                  1.159188
939.42               1.252474
939.84               1.238466
940.26               1.151425
940.68               1.196666
941.1                1.111507
941.52               1.134961
941.94               1.191304
942.36               1.068508
942.78               0.98223
943.2                0.965217
943.62               0.964782
944.04               0.895337
944.46               0.999362
944.88               1.071935
945.3                1.058785
945.72               1.051717
946.14               1.103208
946.56               1.138038
946.98               1.076664
947.4                1.011461
947.82               0.994614
948.24               0.988191
948.66               0.959239
949.08               0.945258
949.5                0.940734
949.92               0.992404
950.34               0.988055
950.76               0.963027
951.18               0.909792
951.6                0.943252
952.02               0.89868
952.44               0.91875
952.86               0.964571
953.28               0.950074
953.7                0.907988
954.12               0.877663
954.54               0.856571
954.96               0.855786
955.38               0.868397
955.8                0.868154
956.22               0.885611
956.64               0.910656
957.06               0.880029
957.48               0.853621
957.9                0.841149
958.32               0.817539
958.74               0.81677
959.16               0.828726
959.58               0.828164
960                  0.803087
960.42               0.78761
960.84               0.778136
961.26               0.812362
961.68               0.822845
962.1                0.801542
962.52               0.799653
962.94               0.786432
963.36               0.806099
963.78               0.82402
964.2                0.788596
964.62               0.774557
965.04               0.750674
965.46               0.743359
965.88               0.762137
966.3                0.765259
966.72               0.770029
967.14               0.765054
967.56               0.762111
967.98               0.750567
968.4                0.746984
968.82               0.761666
969.24               0.767079
969.66               0.772756
970.08               0.785951
970.5                0.765807
970.92               0.745897
971.34               0.775443
971.76               0.770162
972.18               0.852524
972.6                1.042269
973.02               1.017439
973.44               0.900644
973.86               0.840675
974.28               0.796862
974.7                0.773544
975.12               0.740749
975.54               0.729384
975.96               0.755542
976.38               0.756376
976.8                0.736066
977.22               0.725529
977.64               0.740412
978.06               0.731455
978.48               0.723922
978.9                0.754302
979.32               0.742901
979.74               0.733204
980.16               0.714712
980.58               0.689385
981                  0.687739
981.42               0.669721
981.84               0.677948
982.26               0.708315
982.68               0.705118
983.1                0.726616
983.52               0.724013
983.94               0.710444
984.36               0.703197
984.78               0.717535
985.2                0.699617
985.62               0.712784
986.04               0.688648
986.46               0.689667
986.88               0.676569
987.3                0.672077
987.72               0.676588
988.14               0.676345
988.56               0.694149
988.98               0.700344
989.4                0.690196
989.82               0.68266
990.24               0.703113
990.66               0.69569
991.08               0.69016
991.5                0.716915
991.92               0.69188
992.34               0.705777
992.76               0.714452
993.18               0.725548
993.6                0.705534
994.02               0.70716
994.44               0.688424
994.86               0.685805
995.28               0.671769
995.7                0.708737
996.12               0.71857
996.54               0.712261
996.96               0.714527
997.38               0.709191
997.8                0.696969
998.22               0.700062
998.64               0.699968
999.06               0.698021
999.48               0.747467
999.9                0.828369
1000.32              0.835781
1000.74              0.806076
1001.16              0.801873
1001.58              0.790706
1002                 0.758151
1002.42              0.765953
1002.84              0.761182
1003.26              0.758365
1003.68              0.777822
1004.1               0.77678
1004.52              0.835164
1004.94              0.845585
1005.36              0.856759
1005.78              0.814177
1006.2               0.821579
1006.62              0.850752
1007.04              0.928612
1007.46              1.000112
1007.88              0.914823
1008.3               0.893413
1008.72              0.895532
1009.14              0.870173
1009.56              0.829878
1009.98              0.80862
1010.4               0.796924
1010.82              0.785679
