S lambdaH(nm)	shift(nm)	sigmaShiftH(nm)	sigmaLambdaH
397.1300473461025	0.11145271620212063	0.021229662127912323	0.07685769433354724
410.22786632282913	0.10612715981058819	0.02122966138051114	0.0768597921793127
434.1250592323594	0.11187968063657432	0.021229662189417756	0.07686365623276993
486.19257860756625	0.1360216696550352	0.02122966604972576	0.07687220851408051
656.3639711559929	0.18020098960225867	0.02122967506091061	0.07690095306877101
