S Detector_current	peak_position(mm)
0.68	15.
0.7	14.8
0.8	14.6
0.9	14.4
0.9	14.2
0.9	14.
0.7	15.2
0.82	15.4
0.9	15.6
0.92	15.8
0.9	16.
