S Detector_current(mA)	Delta_z
0.459	0.9699999999999989
0.459	0.9599999999999991
0.459	0.9399999999999995
1.203	0.620000000000001
1.203	0.6199999999999992
1.203	0.5879999999999992
0.341	0.75
0.341	0.7099999999999991
0.341	0.7699999999999996
0.851	1.42
0.851	1.3800000000000008
0.851	1.4400000000000013
2.183	2.
2.183	1.8499999999999996
2.183	2.008000000000001
