# H868
# Spectrum #00084	5:31:08 PM 4/26/2018
# Narrow scan: start 867.8nm, end 869.05nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 30um, exit 30um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
867.8                0.089564
867.807717           0.087199
867.815435           0.088169
867.823152           0.087114
867.830869           0.079909
867.838587           0.077599
867.846304           0.075324
867.854021           0.075035
867.861739           0.077985
867.869456           0.08149
867.877173           0.081724
867.88489            0.081776
867.892607           0.07989
867.900325           0.085222
867.908042           0.08458
867.915759           0.085589
867.923476           0.080666
867.931193           0.08505
867.93891            0.087997
867.946627           0.090116
867.954344           0.090168
867.962062           0.088672
867.969779           0.092524
867.977496           0.090892
867.985213           0.094121
867.99293            0.096587
868.000647           0.094387
868.008363           0.100057
868.01608            0.097785
868.023797           0.093618
868.031514           0.098853
868.039231           0.101514
868.046948           0.102355
868.054665           0.118935
868.062382           0.129801
868.070098           0.140248
868.077815           0.14717
868.085532           0.161073
868.093249           0.169813
868.100966           0.187455
868.108682           0.208739
868.116399           0.221435
868.124116           0.223564
868.131832           0.213629
868.139549           0.222827
868.147266           0.224651
868.154982           0.21054
868.162699           0.196893
868.170416           0.187845
868.178132           0.179958
868.185849           0.169518
868.193565           0.156559
868.201282           0.142828
868.208998           0.127441
868.216715           0.120866
868.224431           0.107018
868.232148           0.095078
868.239864           0.092891
868.247581           0.090843
868.255297           0.091106
868.263014           0.092089
868.27073            0.094647
868.278446           0.098012
868.286163           0.10435
868.293879           0.101978
868.301595           0.103221
868.309312           0.111666
868.317028           0.12419
868.324744           0.130492
868.33246            0.130833
868.340177           0.137509
868.347893           0.140631
868.355609           0.146021
868.363325           0.146041
868.371041           0.146307
868.378758           0.131527
868.386474           0.128902
868.39419            0.126893
868.401906           0.120993
868.409622           0.109472
868.417338           0.101942
868.425054           0.103101
868.43277            0.098742
868.440486           0.094871
868.448202           0.093719
868.455918           0.089311
868.463634           0.082876
868.47135            0.083541
868.479066           0.092703
868.486782           0.090412
868.494498           0.0848
868.502214           0.082068
868.50993            0.083544
868.517646           0.084164
868.525361           0.086303
868.533077           0.09159
868.540793           0.085018
868.548509           0.083298
868.556225           0.080867
868.56394            0.083703
868.571656           0.085164
868.579372           0.089133
868.587088           0.0891
868.594803           0.085261
868.602519           0.089029
868.610235           0.089405
868.61795            0.092602
868.625666           0.090843
868.633382           0.086751
868.641097           0.09131
868.648813           0.091236
868.656528           0.090882
868.664244           0.085858
868.671959           0.084112
868.679675           0.082571
868.68739            0.082519
868.695106           0.081091
868.702821           0.075499
868.710537           0.081402
868.718252           0.082152
868.725968           0.081665
868.733683           0.078692
868.741398           0.083531
868.749114           0.080484
868.756829           0.07902
868.764544           0.076693
868.77226            0.073
868.779975           0.080997
868.78769            0.082632
868.795406           0.078066
868.803121           0.084674
868.810836           0.085394
868.818551           0.08592
868.826266           0.086033
868.833982           0.081795
868.841697           0.080036
868.849412           0.082496
868.857127           0.083395
868.864842           0.082227
868.872557           0.08813
868.880272           0.085258
868.887987           0.08357
868.895702           0.087728
868.903418           0.084362
868.911133           0.083736
868.918848           0.083298
868.926563           0.07805
868.934277           0.079786
868.941992           0.080419
868.949707           0.081707
868.957422           0.078326
868.965137           0.085053
868.972852           0.085547
868.980567           0.081672
868.988282           0.083009
868.995997           0.08321
869.003711           0.082499
869.011426           0.078787
869.019141           0.075505
869.026856           0.084099
869.034571           0.080471
869.042285           0.081386
869.05               0.083515
