# 404.770
# Spectrum #00025	3:16:37 PM 4/26/2018
# Narrow scan: start 809.2nm, end 810.45nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 15um, exit 15um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
809.2                0.016877
809.207913           0.017179
809.215825           0.018049
809.223738           0.017066
809.23165            0.017436
809.239563           0.017153
809.247475           0.015651
809.255388           0.015307
809.2633             0.015855
809.271213           0.015102
809.279125           0.015219
809.287038           0.016293
809.29495            0.01603
809.302863           0.017131
809.310775           0.015053
809.318687           0.016397
809.3266             0.015829
809.334512           0.016751
809.342424           0.017082
809.350337           0.01618
809.358249           0.017361
809.366161           0.01519
809.374074           0.016663
809.381986           0.017734
809.389898           0.014865
809.39781            0.014528
809.405723           0.014946
809.413635           0.017608
809.421547           0.016443
809.429459           0.017475
809.437371           0.018438
809.445284           0.018614
809.453196           0.018594
809.461108           0.018546
809.46902            0.018409
809.476932           0.017247
809.484844           0.019295
809.492756           0.018539
809.500668           0.019948
809.50858            0.021466
809.516492           0.02169
809.524404           0.020321
809.532316           0.021999
809.540228           0.023657
809.54814            0.023771
809.556052           0.026033
809.563964           0.027947
809.571876           0.037985
809.579788           0.058042
809.587699           0.090908
809.595611           0.138008
809.603523           0.202527
809.611435           0.265715
809.619347           0.34019
809.627258           0.396102
809.63517            0.45594
809.643082           0.527569
809.650994           0.598543
809.658905           0.665278
809.666817           0.725048
809.674729           0.773259
809.682641           0.79867
809.690552           0.823023
809.698464           0.831192
809.706375           0.847387
809.714287           0.865457
809.722199           0.890615
809.73011            0.917559
809.738022           0.938566
809.745933           0.922693
809.753845           0.898086
809.761756           0.84642
809.769668           0.753942
809.777579           0.65647
809.785491           0.552582
809.793402           0.450219
809.801314           0.359088
809.809225           0.284424
809.817137           0.221633
809.825048           0.173036
809.832959           0.135769
809.840871           0.107154
809.848782           0.088607
809.856694           0.07251
809.864605           0.061573
809.872516           0.052664
809.880427           0.046618
809.888339           0.040303
809.89625            0.035821
809.904161           0.035353
809.912072           0.033052
809.919984           0.030709
809.927895           0.028106
809.935806           0.028769
809.943717           0.026688
809.951628           0.027847
809.95954            0.025562
809.967451           0.023618
809.975362           0.024205
809.983273           0.023313
809.991184           0.021836
809.999095           0.022567
810.007006           0.022489
810.014917           0.021197
810.022828           0.022459
810.030739           0.020921
810.03865            0.020129
810.046561           0.021814
810.054472           0.020515
810.062383           0.02096
810.070294           0.019088
810.078205           0.020194
810.086116           0.020133
810.094027           0.018584
810.101937           0.018146
810.109848           0.017082
810.117759           0.017819
810.12567            0.017835
810.133581           0.016949
810.141491           0.018374
810.149402           0.019049
810.157313           0.017932
810.165224           0.018166
810.173134           0.016303
810.181045           0.016923
810.188956           0.01962
810.196867           0.020071
810.204777           0.019565
810.212688           0.018763
810.220598           0.019513
810.228509           0.019717
810.23642            0.017127
810.24433            0.017468
810.252241           0.018873
810.260151           0.01815
810.268062           0.017598
810.275972           0.01753
810.283883           0.015716
810.291793           0.015196
810.299704           0.015154
810.307614           0.01542
810.315525           0.014693
810.323435           0.016644
810.331346           0.017153
810.339256           0.016618
810.347166           0.016082
810.355077           0.015109
810.362987           0.01555
810.370897           0.015076
810.378808           0.016426
810.386718           0.015563
810.394628           0.016923
810.402539           0.016608
810.410449           0.016021
810.418359           0.017968
810.426269           0.01739
810.43418            0.017361
810.44209            0.016452
810.45               0.016043
