# Resistivity Experiment v3.0
# 
# Data Acquisition Unit: Agilent Model 34970A
# Start Time: 4:31:11.273 PM 5/24/2018 ; Start Temp: 383.5050 K
# Time (s)   Temp (K)         R1         R2         R3         R4         R5
  5188.130   345.8250   743.3629   2723.811   6.675343   6534.801   26.86131
  5283.333   345.3210   752.5740   2723.254   6.664070   6648.648   26.86119
  5377.782   344.8110   761.7698   2722.677   6.652858   6762.078   26.86125
  5475.227   344.3070   771.1241   2722.145   6.642091   6879.696   26.86239
  5572.942   343.8040   780.2040   2721.619   6.631387   6998.582   26.86309
  5671.118   343.2960   789.3763   2721.112   6.620810   7119.507   26.86416
  5771.123   342.7900   798.8143   2720.586   6.609219   7243.961   26.86448
  5872.118   342.2820   807.8897   2720.079   6.598578   7369.829   26.86505
  5975.051   341.7730   817.2186   2719.598   6.586101   7500.436   26.86600
  6079.329   341.2650   826.4741   2719.110   6.575397   7632.126   26.86638
  6183.786   340.7600   835.7155   2718.660   6.565072   7765.712   26.86645
  6290.338   340.2510   844.8467   2718.178   6.552279   7903.358   26.86670
  6397.666   339.7460   854.1445   2717.716   6.542398   8044.990   26.86765
  6505.920   339.2330   863.1940   2717.234   6.531631   8186.996   26.86815
  6616.375   338.7270   872.4817   2716.753   6.520166   8333.551   26.86872
  6727.095   338.2200   881.4341   2716.297   6.509716   8481.106   26.86936
  6839.768   337.7180   890.3047   2715.783   6.497872   8633.042   26.86936
  6953.190   337.2110   899.1792   2715.258   6.486408   8786.750   26.87018
  7067.831   336.7030   907.9940   2714.808   6.476083   8943.462   26.87088
  7186.347   336.1970   916.8134   2714.358   6.464556   9105.369   26.87031
  7304.254   335.6890   925.4659   2713.952   6.453472   9268.405   26.87088
  7426.024   335.1790   934.0519   2713.540   6.442514   9437.340   26.87157
  7549.170   334.6700   942.6684   2713.135   6.431747   9610.563   26.87221
  7672.184   334.1650   951.1074   2712.736   6.421549   9784.966   26.87246
  7796.916   333.6590   959.3416   2712.368   6.410592   9962.683   26.87246
  7923.341   333.1480   967.4725   2712.000   6.398368   10144.72   26.87354
  8053.107   332.6390   975.5622   2711.627   6.387981   10332.02   26.87417
  8182.879   332.1350   983.5472   2711.266   6.376136   10521.38   26.87512
  8314.759   331.6350   991.2281   2710.898   6.366319   10715.39   26.87519
  8447.931   331.1260   998.8101   2710.556   6.355109   10911.53   26.87620
  8584.360   330.6220   1006.420   2710.220   6.342251   11113.25   26.87696
  8723.129   330.1130   1013.815   2709.903   6.332814   11321.55   26.87671
  8863.082   329.6090   1020.914   2709.593   6.321603   11533.41   26.87740
  9006.236   329.1020   1027.900   2709.295   6.310329   11746.29   26.87721
  9152.489   328.5960   1034.785   2709.004   6.298929   11966.32   26.87816
  9300.875   328.0970   1041.409   2708.687   6.287906   12240.83   26.87848
  9453.206   327.5930   1047.817   2708.414   6.277455   12472.13   26.87899
  9609.697   327.0890   1054.102   2708.135   6.266434   12706.29   26.87880
  9767.358   326.5850   1060.217   2707.869   6.255033   12944.22   26.87962
  9931.501   326.0840   1066.128   2707.578   6.244709   13191.51   26.87911
  10097.36   325.5850   1071.844   2707.337   6.233246   13441.33   26.88019
  10264.99   325.0820   1077.280   2707.109   6.221844   13693.42   26.88032
  10443.31   324.5750   1082.615   2706.856   6.212407   13959.29   26.88158
  10624.89   324.0730   1087.776   2706.634   6.199929   14227.80   26.88152
  10807.07   323.5720   1092.688   2706.418   6.189986   14498.66   26.88215
  10997.95   323.0660   1097.413   2706.165   6.178142   14778.17   26.88171
  11194.14   322.5610   1101.962   2705.988   6.167248   15066.21   26.88272
  11393.82   322.0540   1106.262   2705.772   6.157050   15356.97   26.88241
  11599.94   321.5500   1110.522   2705.576   6.145270   15655.94   26.88323
  11810.83   321.0420   1114.405   2705.392   6.135262   15963.19   26.88412
  12029.36   320.5380   1118.157   2705.208   6.123101   16276.32   26.88336
  12253.37   320.0310   1121.684   2705.006   6.112524   16594.62   26.88399
  12481.72   319.5250   1125.056   2704.854   6.101883   16923.22   26.88443
  12717.55   319.0200   1128.197   2704.670   6.091306   17256.94   26.88570
  12959.86   318.5130   1131.175   2704.505   6.080031   17600.02   26.88570
  13211.64   318.0060   1133.942   2704.365   6.068504   17952.19   26.88583
  13468.14   317.5020   1136.518   2704.239   6.057991   18311.94   26.88602
  13730.49   316.9960   1138.892   2704.087   6.045703   18676.68   26.88602
  14000.98   316.4930   1141.085   2703.948   6.035949   19053.62   26.88627
  14281.41   315.9860   1143.089   2703.846   6.024612   19437.00   26.88678
  14570.27   315.4800   1144.916   2703.713   6.013400   19831.25   26.88608
  14868.73   314.9760   1146.559   2703.612   6.002190   20233.46   26.88754
  15174.42   314.4710   1148.032   2703.517   5.991042   20642.93   26.88792
  15494.35   313.9660   1149.319   2703.447   5.980845   21062.83   26.88811
  15822.87   313.4610   1150.444   2703.358   5.969001   21492.96   26.88836
  16163.22   312.9550   1151.408   2703.276   5.958297   21932.89   26.88760
  16523.61   312.4480   1152.208   2703.187   5.947910   22385.08   26.88868
  16907.97   311.9430   1152.854   2703.124   5.936128   22846.68   26.88874
  17282.52   311.4350   1153.344   2703.092   5.925171   23317.38   26.88874
  17655.02   310.9310   1153.691   2703.022   5.913517   23802.22   26.88937
  18033.52   310.4280   1153.893   2702.978   5.902877   24296.24   26.88988
  18462.51   309.9240   1153.950   2702.946   5.892616   24799.98   26.88944
  18951.47   309.4180   1153.877   2702.889   5.881152   25316.10   26.88982
  19424.18   308.9150   1153.668   2702.864   5.870384   25845.74   26.88988
  19901.64   308.4110   1153.336   2702.870   5.859680   26390.11   26.89001
  20468.88   307.9060   1152.889   2702.870   5.848533   26941.17   26.89039
  21073.21   307.4020   1152.312   2702.864   5.837765   27509.49   26.89077
  21694.66   306.9000   1151.625   2702.851   5.826238   28089.36   26.89089
  22429.43   306.3980   1150.834   2702.845   5.815534   28681.93   26.89134
  23228.83   305.8940   1149.935   2702.864   5.805400   29290.24   26.89115
  24125.30   305.3920   1148.931   2702.864   5.793239   29912.63   26.89159
  25142.97   304.8890   1147.833   2702.883   5.782978   30547.54   26.89115
  26279.30   304.3860   1146.639   2702.908   5.771641   31204.43   26.89178
  27566.77   303.8820   1145.358   2702.927   5.760747   31875.85   26.89165
  29052.61   303.3780   1143.987   2702.953   5.749916   32566.92   26.89178
  30861.90   302.8760   1142.539   2702.984   5.738642   33269.56   26.89146
  33076.94   302.3740   1141.013   2703.016   5.727875   33993.67   26.89159
  36009.19   301.8700   1139.429   2703.042   5.716411   34730.49   26.89229
  40854.87   301.3670   1137.779   2703.010   5.705896   35493.27   26.89134
