# Resistivity Experiment v3.0
# 
# Data Acquisition Unit: Agilent Model 34970A
# Start Time: 1:50:47.002 PM 5/24/2018 ; Start Temp: 298.9410 K
# Time (s)   Temp (K)         R1         R2         R3         R4         R5
  110.1870   297.7730   1124.288   2703.504   5.630525   41272.86   26.89222
  111.6860   297.7410   1123.949   2703.517   5.628688   41420.71   26.89330
  113.1930   297.7490   1123.734   2703.542   5.627928   41440.73   26.89286
  114.6910   297.6740   1123.543   2703.542   5.627675   41481.30   26.89235
  116.1910   297.7180   1123.726   2703.536   5.627865   41498.73   26.89254
  117.6930   297.7070   1123.502   2703.472   5.626978   41530.07   26.89229
  119.6920   297.5890   1123.545   2703.510   5.625902   41735.79   26.89317
  121.1910   297.6160   1123.367   2703.517   5.625711   41748.11   26.89343
  122.6930   297.6230   1123.288   2703.542   5.624255   41744.95   26.89248
  124.3890   297.5730   1123.144   2703.535   5.623685   41773.51   26.89254
  125.6850   297.5720   1123.007   2703.523   5.623747   41792.52   26.89254
  127.1940   297.5290   1122.938   2703.517   5.623241   41809.08   26.89248
  128.6840   297.5200   1123.035   2703.554   5.623811   41831.38   26.89254
  130.1910   297.4900   1123.007   2703.567   5.622354   41851.73   26.89286
  131.7190   297.4620   1122.822   2703.529   5.621721   41911.87   26.89336
  133.1850   297.4680   1122.728   2703.548   5.621531   41977.71   26.89235
  134.6860   297.5050   1122.312   2703.580   5.621405   41982.01   26.89235
  136.1920   297.5070   1122.597   2703.593   5.621468   41981.82   26.89298
  137.6920   297.4960   1122.695   2703.605   5.621214   41981.75   26.89317
  139.1840   297.4930   1122.698   2703.593   5.621785   41981.44   26.89260
  140.6930   297.4620   1122.713   2703.580   5.621214   41984.03   26.89235
  142.1910   297.4870   1122.679   2703.555   5.621847   41986.68   26.89229
  143.6920   297.4890   1122.679   2703.593   5.621404   41991.68   26.89273
  145.2250   297.4640   1122.301   2703.586   5.621848   42002.79   26.89279
  146.6840   297.3170   1122.348   2703.561   5.620708   42080.06   26.89279
  148.1840   297.3870   1122.136   2703.580   5.619884   42108.12   26.89178
  149.6840   297.3720   1122.299   2703.612   5.619758   42130.23   26.89311
  151.1900   297.2370   1122.165   2703.618   5.618807   42153.80   26.89336
  152.6920   297.3500   1122.079   2703.586   5.619378   42170.92   26.89197
  154.1900   297.3330   1122.119   2703.618   5.618807   42205.98   26.89241
  155.6900   297.3330   1121.980   2703.605   5.618934   42228.79   26.89197
  157.1900   297.3340   1121.858   2703.605   5.619251   42255.39   26.89267
  158.6920   297.2530   1121.864   2703.605   5.618300   42278.77   26.89260
  161.0570   297.3020   1121.782   2703.656   5.617794   42304.29   26.89317
  162.2020   297.2990   1121.697   2703.650   5.617984   42337.71   26.89248
  163.6850   297.2600   1121.752   2703.637   5.617604   42343.65   26.89260
  165.1910   297.2230   1120.917   2703.624   5.617540   42364.44   26.89298
  166.6920   297.2730   1121.731   2703.656   5.617287   42383.84   26.89292
  168.1900   297.2550   1121.516   2703.637   5.617224   42408.29   26.89286
  169.6840   297.2440   1121.663   2703.662   5.616147   42416.63   26.89235
  171.1970   297.2630   1121.503   2703.656   5.616717   42415.74   26.89298
  172.6840   297.2300   1121.367   2703.656   5.616908   42419.98   26.89324
  174.1910   297.2400   1121.622   2703.681   5.616654   42430.09   26.89292
  175.6910   297.2400   1121.636   2703.656   5.616780   42442.21   26.89343
  177.1830   297.2050   1121.410   2703.643   5.614880   42457.57   26.89286
  178.6910   297.2230   1121.549   2703.656   5.616084   42465.59   26.89248
  180.1900   297.2250   1121.560   2703.675   5.616464   42475.89   26.89336
  181.6910   297.2230   1121.547   2703.675   5.615451   42480.63   26.89368
  183.1890   297.1930   1121.505   2703.656   5.615387   42496.05   26.89305
  184.6810   297.2050   1121.452   2703.669   5.615134   42504.39   26.89197
  186.1910   297.2020   1121.486   2703.681   5.616021   42511.84   26.89260
  187.6890   297.1990   1121.412   2703.643   5.615578   42517.97   26.89241
  189.1890   297.2020   1121.426   2703.675   5.614564   42524.86   26.89279
  190.6910   297.1940   1121.395   2703.669   5.615577   42529.47   26.89222
  192.1910   297.1810   1121.401   2703.694   5.615387   42534.46   26.89241
  193.6850   297.1780   1121.162   2703.662   5.614564   42545.64   26.89229
  195.1890   297.0660   1120.652   2703.669   5.614374   42620.89   26.89216
  196.6890   297.0540   1120.792   2703.681   5.612980   42672.89   26.89298
  198.1820   297.0350   1120.384   2703.732   5.613424   42724.51   26.89292
  199.6890   297.0100   1120.604   2703.707   5.612474   42764.06   26.89336
  201.1820   297.0010   1120.553   2703.751   5.611397   42793.37   26.89330
  202.6900   296.9850   1120.614   2703.757   5.611460   42826.86   26.89260
  204.1880   296.9560   1120.516   2703.745   5.610701   42863.57   26.89286
  205.6850   296.9430   1120.277   2703.694   5.610067   42992.52   26.89298
  207.3800   296.9130   1120.210   2703.776   5.610763   43001.30   26.89273
  208.6920   296.9200   1120.030   2703.795   5.610004   43127.79   26.89305
  210.1870   296.9010   1118.791   2703.808   5.609624   43115.41   26.89260
  211.6880   296.8630   1120.094   2703.808   5.608737   43109.53   26.89260
  213.1810   296.8160   1119.958   2703.795   5.608230   43159.26   26.89254
  214.6820   296.8560   1120.030   2703.802   5.608546   43168.10   26.89317
  216.1830   296.8520   1119.977   2703.795   5.608103   43163.68   26.89216
  217.6900   296.8570   1119.903   2703.802   5.607470   43166.96   26.89229
  219.1880   296.8210   1119.911   2703.795   5.609243   43203.17   26.89298
  220.6820   296.8290   1119.582   2703.789   5.605950   43203.73   26.89235
  222.2000   296.8110   1119.797   2703.802   5.607280   43235.83   26.89222
  223.6890   296.7920   1119.663   2703.795   5.606520   43247.84   26.89260
  225.1880   296.7680   1119.544   2703.808   5.606583   43273.68   26.89317
  226.6860   296.7210   1119.537   2703.814   5.605696   43315.37   26.89330
  228.1880   296.7630   1119.199   2703.808   5.604810   43321.70   26.89229
  229.6880   296.7140   1119.477   2703.833   5.605570   43341.85   26.89260
  231.1880   296.7340   1119.476   2703.840   5.605887   43382.66   26.89324
  232.6900   296.6080   1118.973   2703.833   5.604873   43405.98   26.89267
  234.1800   296.6310   1118.602   2703.840   5.603860   43477.43   26.89305
  235.6910   296.5480   1118.770   2703.871   5.602909   43609.61   26.89292
  237.1810   296.4990   1118.240   2703.878   5.602403   43761.68   26.89368
  238.6900   296.4850   1118.328   2703.922   5.601770   43801.49   26.89273
  240.1870   296.4770   1118.287   2703.916   5.600883   43825.69   26.89241
  241.6900   296.4170   1117.536   2703.903   5.600503   43861.45   26.89273
  243.1880   296.2700   1117.500   2703.922   5.599743   43984.71   26.89248
  244.6900   296.3280   1116.978   2703.986   5.597019   44048.65   26.89298
  246.1860   296.2200   1117.646   2703.979   5.597146   44115.62   26.89279
  247.6880   296.0300   1117.549   2704.017   5.595626   44165.60   26.89355
  249.1810   296.1470   1117.078   2703.985   5.593916   44227.20   26.89330
  250.6890   295.9320   1116.720   2703.992   5.593979   44336.70   26.89298
  252.1950   296.1400   1116.753   2704.068   5.592839   44409.23   26.89305
  253.6870   296.1210   1115.910   2704.068   5.592712   44439.93   26.89406
  255.1890   296.0740   1116.450   2704.087   5.591762   44500.20   26.89336
  256.6890   296.0190   1116.465   2704.049   5.589355   44562.95   26.89324
  258.1870   296.0490   1114.894   2704.068   5.590179   44653.93   26.89279
  259.6870   296.0270   1115.937   2704.131   5.590052   44686.52   26.89317
  261.1870   295.9820   1115.235   2704.137   5.589863   44776.62   26.89298
  262.6800   295.9180   1114.640   2704.163   5.588659   44867.16   26.89349
  264.1790   295.7950   1115.463   2704.207   5.586759   44991.43   26.89248
  265.6790   295.6530   1114.545   2704.207   5.585049   45185.28   26.89248
  267.1870   295.6920   1114.934   2704.232   5.584352   45239.30   26.89229
  268.6850   295.6060   1114.457   2704.220   5.582832   45362.05   26.89374
  270.1870   295.5500   1113.763   2704.188   5.582072   45613.20   26.89349
  271.6870   295.5590   1113.908   2704.290   5.582135   45639.48   26.89330
  273.1860   295.3650   1113.889   2704.283   5.580615   45712.14   26.89241
  274.6870   295.4000   1113.834   2704.290   5.579728   45768.18   26.89260
  276.1790   295.3930   1113.329   2704.290   5.578271   45960.31   26.89260
  277.6880   295.3880   1112.581   2704.334   5.577828   45991.59   26.89305
  279.3430   295.3530   1112.737   2704.340   5.577448   46105.63   26.89292
  280.6850   295.3330   1112.707   2704.372   5.576371   46164.58   26.89197
  282.2750   295.3220   1112.491   2704.378   5.576055   46162.62   26.89279
  283.6860   295.2940   1112.367   2704.397   5.575358   46254.23   26.89381
  285.1850   295.0420   1112.026   2704.448   5.573838   46304.71   26.89286
  286.6860   295.1140   1111.245   2704.435   5.572064   46771.50   26.89324
  288.1850   295.0680   1110.403   2704.486   5.571431   46840.55   26.89235
  289.6870   295.0060   1111.023   2704.638   5.570291   46901.90   26.89349
  291.1860   295.0200   1111.491   2704.613   5.567377   46878.59   26.89330
  292.6860   295.0280   1111.500   2704.562   5.568200   46863.11   26.89298
  294.1850   294.9790   1111.431   2704.556   5.568011   46864.69   26.89235
  295.6880   294.9260   1111.002   2704.537   5.567504   46907.65   26.89311
  297.1850   294.8100   1110.454   2704.568   5.567061   47023.59   26.89349
  298.6800   294.8200   1110.146   2704.556   5.564781   47146.54   26.89381
  300.1860   294.6790   1109.872   2704.568   5.562564   47430.72   26.89292
  301.6850   294.6750   1109.865   2704.625   5.560663   47460.04   26.89235
  303.1880   294.6580   1109.490   2704.505   5.560981   47507.99   26.89273
  304.6860   294.6290   1107.575   2704.720   5.560917   47548.37   26.89273
  306.1840   294.5250   1109.363   2704.740   5.559270   47618.94   26.89222
  307.6850   294.4800   1109.183   2704.740   5.558763   47926.69   26.89298
  309.1860   294.5130   1108.963   2704.733   5.557433   47956.52   26.89273
  310.6780   294.5050   1107.784   2704.746   5.556736   47961.63   26.89203
  312.2010   294.3850   1108.275   2704.733   5.556294   48060.76   26.89355
  313.6870   294.3360   1107.140   2704.714   5.555534   48205.51   26.89197
  315.1840   294.3130   1107.708   2704.892   5.554520   48219.98   26.89279
  316.6780   294.1840   1107.016   2704.790   5.553253   48400.23   26.89279
  318.1870   294.1010   1107.211   2704.961   5.553443   48467.27   26.89260
  319.6860   294.0640   1103.016   2704.860   5.552683   49142.80   26.89248
  321.1840   293.9360   1105.890   2705.006   5.549326   49176.16   26.89349
  322.6780   293.8150   1104.233   2705.050   5.547046   49123.09   26.89362
  324.1840   293.9330   1106.266   2705.101   5.546413   49074.88   26.89305
  325.8410   293.9810   1106.405   2705.069   5.545780   49228.09   26.89324
  327.1840   293.9130   1106.354   2705.056   5.544956   49178.37   26.89311
  328.6790   293.9310   1106.480   2705.031   5.545336   49151.83   26.89273
  330.1850   293.9640   1106.454   2705.012   5.544196   49131.99   26.89241
  331.6780   293.9140   1106.339   2704.974   5.545020   49131.30   26.89260
  333.1840   293.7920   1105.811   2704.980   5.543436   49269.03   26.89330
  334.6850   293.5660   1105.318   2704.987   5.541282   49343.02   26.89292
  336.1830   293.6510   1105.183   2704.980   5.540839   49414.22   26.89178
  337.6790   293.6490   1105.270   2705.056   5.539953   49550.82   26.89330
  339.1830   293.5440   1104.452   2705.050   5.538495   49638.77   26.89324
  340.6840   293.5310   1104.778   2705.075   5.538876   49772.46   26.89260
  342.2050   293.3210   1103.291   2705.044   5.536912   49978.81   26.89362
  343.6830   293.4440   1104.087   2705.164   5.536912   50015.83   26.89273
  345.1770   293.4520   1103.767   2705.145   5.533555   50065.87   26.89305
  346.6850   293.3760   1103.870   2705.189   5.534125   50189.52   26.89381
  348.1850   293.4420   1103.240   2705.208   5.532922   50279.80   26.89330
  349.6830   293.4100   1103.127   2705.246   5.532985   50281.38   26.89229
  351.1830   293.3740   1103.296   2705.196   5.527665   50335.84   26.89235
  352.6830   293.3140   1103.148   2705.246   5.530451   50364.02   26.89254
